Unique_id,Links,Name,Ratings,Price_for_one,Cuisine
75,https://www.zomato.com/bangalore/cakewala-1-jayanagar/order,Cakewala,4.3,150,"Bakery, Desserts"
76,https://www.zomato.com/bangalore/vijayalakshmi-veg-frazer-town-bangalore/order,Vijayalakshmi Veg,4,150,"South Indian, Chinese, North Indian, Sichuan"
77,https://www.zomato.com/bangalore/baskin-robbins-church-street/order,Baskin Robbins,4.3,150,"Ice Cream, Desserts"
78,https://www.zomato.com/bangalore/chaayos-chai-snacks-relax-cunningham-road-bangalore/order,Chaayos Chai+Snacks=Relax,4.1,150,"Tea, Beverages"
79,https://www.zomato.com/bangalore/hari-super-sandwich-seshadripuram-bangalore/order,Hari Super Sandwich,3.8,150,"Sandwich, Pizza, Fast Food, Street Food"
80,https://www.zomato.com/bangalore/rnr-biryani-taste-of-1953-1-jayanagar-bangalore/order,RNR Biryani - Taste Of 1953,4.2,150,"Biryani, South Indian, Desserts, Beverages, Andhra"
81,https://www.zomato.com/bangalore/kaati-zone-rolls-and-wraps-vasanth-nagar-bangalore/order,Kaati Zone Rolls and Wraps,3.8,150,"Rolls, Wraps, Fast Food, Desserts, Shake, Beverages"
82,https://www.zomato.com/bangalore/sultan-palace-darbar-restaurant-nagawara-bangalore/order,Sultan - Palace Darbar Restaurant,3.4,150,"North Indian, Chinese, Arabian, Mughlai"
83,https://www.zomato.com/bangalore/box8-desi-meals-shanti-nagar-bangalore/order,BOX8 - Desi Meals,4.3,150,"Wraps, North Indian, Fast Food, Biryani, Ice Cream, Desserts, Beverages"
84,https://www.zomato.com/bangalore/new-agarwal-bhavan-sadashiv-nagar-bangalore/order,New Agarwal Bhavan,4.1,100,"Mithai, Street Food"
85,https://www.zomato.com/bangalore/roti-ghar-basavanagudi/order,Roti Ghar,4.1,100,"North Indian, Chinese, South Indian, Street Food, Fast Food, Desserts, Shake, Beverages"
86,https://www.zomato.com/bangalore/laddoos-jeevan-bhima-nagar/order,Laddoos,4,100,"Mithai, North Indian, Street Food"
87,https://www.zomato.com/bangalore/savi-sagar-malleshwaram-bangalore/order,Savi Sagar,3.8,100,"North Indian, South Indian, Chinese, Sandwich, Street Food, Ice Cream, Juices, Beverages"
88,https://www.zomato.com/bangalore/madeena-hotel-koramangala-5th-block-bangalore/order,Madeena Hotel,4,100,"Biryani, Kebab, North Indian"
89,https://www.zomato.com/bangalore/moriz-nano-restaurant-ulsoor/order,Moriz Nano Restaurant,3.6,100,"North Indian, Chinese, Arabian, Mughlai, Fast Food, Beverages, Shake"
90,https://www.zomato.com/bangalore/m-m-a-kabab-and-rolls-old-madras-road-bangalore/order,M.M.A Kabab and Rolls,3.7,100,"North Indian, Mughlai, Chinese, Kebab, Rolls, Seafood, Arabian, Biryani"
91,https://www.zomato.com/bangalore/smoor-lavelle-road-bangalore/order,Smoor,4.1,100,"Fast Food, Italian, Chinese, Salad, Pizza, Burger, Pasta, Asian"
92,https://www.zomato.com/bangalore/the-pizza-bakery-church-street-bangalore/order,The Pizza Bakery,4.2,100,"Pizza, Pasta, Italian, Desserts, Continental, Beverages"
